DATE,COMPOUT
3/12/2008,1844.186243
3/19/2008,1832.69839
3/26/2008,1832.28366
4/2/2008,1826.700456
4/9/2008,1819.902702
4/16/2008,1809.791935
4/23/2008,1785.496412
4/30/2008,1764.801621
5/7/2008,1753.862628
5/14/2008,1734.864195
5/21/2008,1755.004441
5/28/2008,1753.951907
6/4/2008,1755.290463
6/11/2008,1771.699239
6/18/2008,1751.398559
6/25/2008,1752.47659
7/2/2008,1779.650062
7/9/2008,1759.056335
7/16/2008,1749.771678
7/23/2008,1743.988674
7/30/2008,1727.939141
8/6/2008,1725.093122
8/13/2008,1746.696807
8/20/2008,1787.342293
8/27/2008,1794.293886
9/3/2008,1804.141763
9/10/2008,1815.037313
9/17/2008,1764.374544
9/24/2008,1702.789226
10/1/2008,1607.704819
10/8/2008,1550.845658
10/15/2008,1510.519167
10/22/2008,1449.140227
10/29/2008,1549.586113
11/5/2008,1600.129075
11/12/2008,1603.050369
11/19/2008,1614.159009
11/26/2008,1640.258257
12/3/2008,1651.802149
12/10/2008,1700.367052
12/17/2008,1709.0492
12/24/2008,1701.959762
12/31/2008,1681.539176
1/7/2009,1764.532411
1/14/2009,1718.681653
1/21/2009,1688.452995
1/28/2009,1589.608247
2/4/2009,1585.216229
2/11/2009,1553.831979
2/18/2009,1521.240638
2/25/2009,1524.409063
3/4/2009,1480.093225
3/11/2009,1484.00299
3/18/2009,1476.431822
3/25/2009,1491.317312
4/1/2009,1476.468541
4/8/2009,1533.443386
4/15/2009,1473.773058
4/22/2009,1472.054901
4/29/2009,1422.342745
5/6/2009,1379.139759
5/13/2009,1298.054199
5/20/2009,1284.031047
5/27/2009,1248.147402
6/3/2009,1244.571559
6/10/2009,1229.750871
6/17/2009,1202.014176
6/24/2009,1154.173229
7/1/2009,1135.909705
7/8/2009,1136.398551
7/15/2009,1096.667523
7/22/2009,1093.333422
7/29/2009,1065.724859
8/5/2009,1076.410055
8/12/2009,1074.647891
8/19/2009,1110.493133
8/26/2009,1154.196672
9/2/2009,1162.620355
9/9/2009,1173.908646
